taxonID	scientificNameID	localID	scientificName	taxonRank	parentNameUsageID	scientificNameAuthorship	family	subfamily	tribe	subtribe	genus	subgenus	specificEpithet	infraspecificEpithet	verbatimTaxonRank	nomenclaturalStatus	namePublishedIn	taxonomicStatus	acceptedNameUsageID	originalNameUsageID	nameAccordingToID	taxonRemarks	created	modified	references	source	majorGroup	tplID
wfo-0001302055	urn:lsid:ipni.org:names:77257458-1	9905799	"Carex polygama subsp. mutica"	subspecies		"(Hartm.) A.Cajander"	Cyperaceae		Cariceae		Carex	Carex	polygama	mutica	subspecies	Valid	"Luonnon Ystävä 38: 182 (1934)"	Synonym	wfo-0000344215	wfo-0000345207		"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905799 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905799 >The Plant List v.1.0</a>"	2022-04-16	2025-12-15	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1703621	"The Cyperaceae TEN"	A	tro-9905799
wfo-0001302056	urn:lsid:ipni.org:names:301828-1	9905816	"Carex putjatini"	species		Komarov	Cyperaceae		Cariceae		Carex		putjatini		species	Valid	"Izv. Imp. Bot. Sada Petra Velikago 16: 154 (1916)"	Synonym	wfo-0000350471			"Source in seed data: tro Updated scientificnameAuthorship from Kom. to Komarov, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905816 >The Plant List v.1.1.</a> "	2022-04-16	2025-12-15	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1678092	"The Cyperaceae TEN"	A	tro-9905816
wfo-0001302057	urn:lsid:ipni.org:names:1191789-2	9905818	"Carex pyrenaica var. micropoda"	variety		"(C.A.Mey.) B.Boivin"	Cyperaceae		Cariceae		Carex		pyrenaica	micropoda	variety			Synonym	wfo-0000348858			"Source in seed data: tro Updated scientificnameAuthorship from B.Boivin to (C.A.Mey.) B.Boivin, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905818 >The Plant "	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1710400	"The Cyperaceae TEN"	A	tro-9905818
wfo-0001302058	urn:lsid:ipni.org:names:77177095-1	9905840	"Carex rigidioides"	species	wfo-1000081875	"(Gorodkov) V.I.Krecz."	Cyperaceae		Cariceae		Carex	Carex	rigidioides		species	Valid	"Fl. URSS 3: 228 (1935)"	Accepted		wfo-0000350729		"Source in seed data: tro Update namepublishedIn from to Fl. URSS 3: 228 (1935), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905840 >The Plant List v.1.1.</a> "	2022-04-16	2025-12-15	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1678276	"The Cyperaceae TEN"	A	tro-9905840
wfo-0001302060	urn:lsid:ipni.org:names:302368-1	9905877	"Carex squamigera"	species		"V.I.Krecz. & Luczn."	Cyperaceae		Cariceae		Carex		squamigera		species	Valid	"Trudy Dal'nevost. Fil. Akad. Nauk S.S.S.R., Ser. Bot. 2: 890 (1937)"	Synonym	wfo-0000351484			"Source in seed data: tro Updated scientificnameAuthorship from V.I.Krecz. & Luchnik to V.I.Krecz. & Luczn., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905877"	2022-04-16	2025-12-15	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1676058	"The Cyperaceae TEN"	A	tro-9905877
wfo-0001302061		9905879	"Carex stenophylla subsp. stenophylloides"	subspecies		"(V.I.Krecz.) S.Yun Liang & Y.C.Tang"	Cyperaceae		Cariceae		Carex		stenophylla	stenophylloides	subspecies		"Acta Phytotax. Sin. 28(2): 153 1990"	Synonym	wfo-0000351545	wfo-0000351546		"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905879 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905879 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1704237	"The Cyperaceae TEN"	A	tro-9905879
wfo-0001302062	urn:lsid:ipni.org:names:879636-1	9905925	"Carex umbrosa subsp. huetiana"	subspecies		"(Boiss.) T.V.Egorova"	Cyperaceae		Cariceae		Carex		umbrosa	huetiana	subspecies		"Novosti Sist. Vyssh. Rast. 10: 103. 1973"	Synonym	wfo-0000352243			"Source in seed data: tro Updated Author from T.V.Egorova to (Boiss.) T.V.Egorova, according to IPNI. Information provided by Alan E. on email Jul. 15 2020. More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905925 >The "	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1704240	"The Cyperaceae TEN"	A	tro-9905925
wfo-0001302063		9905945	"Carex xyphium"	species		Kom.	Cyperaceae		Cariceae		Carex	Carex	xyphium		species			Synonym	wfo-0000352735			"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905945 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905945 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682944	"The Cyperaceae TEN"	A	tro-9905945
wfo-0001302064		9905959	"Cyperus latespicatus var. setiformis"	variety		T.Koyama	Cyperaceae		Cypereae	Cyperinae	Cyperus		latespicatus	setiformis	variety			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905959 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905959 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1710818	"The Cyperaceae TEN"	A	tro-9905959
wfo-0001302065		9905961	"Cyperus longus subsp. badius"	subspecies		Urb.	Cyperaceae		Cypereae	Cyperinae	Cyperus		longus	badius	subspecies			Synonym	wfo-0001301918			"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905961 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905961 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1703566	"The Cyperaceae TEN"	A	tro-9905961
