cactus_id,legacy_display_name,accepted_name,accepted_author,accepted_genus,species,subfamily,tribe,names_count,all_names,all_names_with_status,photo_main_url,photo_flower_url,photo_spines_url,morphology_stem,morphology_spines,morphology_flower,morphology_fruit,notes_ru
wfo-0000135353,Bridgesia echinopsoides,Bridgesia echinopsoides,Hook.,Bridgesia,echinopsoides,,,1,Bridgesia echinopsoides,Bridgesia echinopsoides [Unchecked],,,,,,,,
wfo-0001288745,Krainzia crinita,Mammillaria crinita,DC.,Mammillaria,crinita,,,36,Cactus crinitus | Cactus schelhasii | Chilita boedekeriana | Chilita criniformis | Chilita crinita | Chilita erectohamata | Chilita pubispina | Chilita pygmaea | Chilita schelhasii | Chilita seideliana | Chilita trichacantha | Ebnerella boedekeriana | Ebnerella crinita | Ebnerella erectohamata | Ebnerella pubispina | Ebnerella pygmaea | Ebnerella schelhasii | Ebnerella seideliana | Ebnerella trichacantha | Krainzia crinita | Mammillaria boedekeriana | Mammillaria criniformis | Mammillaria crinita | Mammillaria erectohamata | Mammillaria moeller-valdeziana | Mammillaria pubispina | Mammillaria pygmaea | Mammillaria schelhasei | Mammillaria schelhasii | Mammillaria seideliana | Mammillaria trichacantha | Neomammillaria boedekeriana | Neomammillaria pygmaea | Neomammillaria schelhasei | Neomammillaria seideliana | Neomammillaria trichacantha,Cactus crinitus [Synonym] | Cactus schelhasii [Synonym] | Chilita boedekeriana [Synonym] | Chilita criniformis [Synonym] | Chilita crinita [Synonym] | Chilita erectohamata [Synonym] | Chilita pubispina [Synonym] | Chilita pygmaea [Synonym] | Chilita schelhasii [Synonym] | Chilita seideliana [Synonym] | Chilita trichacantha [Synonym] | Ebnerella boedekeriana [Synonym] | Ebnerella crinita [Synonym] | Ebnerella erectohamata [Synonym] | Ebnerella pubispina [Synonym] | Ebnerella pygmaea [Synonym] | Ebnerella schelhasii [Synonym] | Ebnerella seideliana [Synonym] | Ebnerella trichacantha [Synonym] | Krainzia crinita [Synonym] | Mammillaria boedekeriana [Synonym] | Mammillaria criniformis [Synonym] | Mammillaria crinita [Accepted] | Mammillaria erectohamata [Synonym] | Mammillaria moeller-valdeziana [Synonym] | Mammillaria pubispina [Synonym] | Mammillaria pygmaea [Synonym] | Mammillaria schelhasei [Synonym] | Mammillaria schelhasii [Synonym] | Mammillaria seideliana [Synonym] | Mammillaria trichacantha [Synonym] | Neomammillaria boedekeriana [Synonym] | Neomammillaria pygmaea [Synonym] | Neomammillaria schelhasei [Synonym] | Neomammillaria seideliana [Synonym] | Neomammillaria trichacantha [Synonym],,,,,,,,
wfo-0001256403,Krainzia schwarzii,Mammillaria schwarzii,Shurly,Mammillaria,schwarzii,,,2,Krainzia schwarzii | Mammillaria schwarzii,Krainzia schwarzii [Synonym] | Mammillaria schwarzii [Accepted],,,,,,,,
wfo-0001288758,Krainzia densispina,Mammillaria densispina,(J.M.Coult.) Orcutt,Mammillaria,densispina,,,8,Cactus densispinus | Krainzia densispina | Leptocladia densispina | Mammillaria buxbaumeriana | Mammillaria densispina | Mammillaria psendofuscata | Mammillaria pseudofuscata | Neomammillaria densispina,Cactus densispinus [Synonym] | Krainzia densispina [Synonym] | Leptocladia densispina [Synonym] | Mammillaria buxbaumeriana [Synonym] | Mammillaria densispina [Accepted] | Mammillaria psendofuscata [Synonym] | Mammillaria pseudofuscata [Synonym] | Neomammillaria densispina [Synonym],,,,,,,,
wfo-0001288776,Krainzia elongata,Mammillaria elongata,DC.,Mammillaria,elongata,,,31,Cactus anguineus | Cactus densus | Cactus elongatus | Cactus intertextus | Cactus minimus | Cactus pulvilliger | Cactus rufocroceus | Cactus stella-aurata | Cactus subcroceus | Cactus subechinatus | Cactus tenuis | Chilita elongata | Echinocactus densus | Krainzia elongata | Leptocladia elongata | Leptocladodia elongata | Mammillaria anguinea | Mammillaria anguineea | Mammillaria caespitosa | Mammillaria densa | Mammillaria echinata | Mammillaria elongata | Mammillaria intertexta | Mammillaria minima | Mammillaria rufocrocea | Mammillaria stella-aurata | Mammillaria subcrocea | Mammillaria subechinata | Mammillaria tenuis | Neomammillaria elongata | Neomammillaria subcrocea,Cactus anguineus [Synonym] | Cactus densus [Synonym] | Cactus elongatus [Synonym] | Cactus intertextus [Synonym] | Cactus minimus [Synonym] | Cactus pulvilliger [Synonym] | Cactus rufocroceus [Synonym] | Cactus stella-aurata [Synonym] | Cactus subcroceus [Synonym] | Cactus subechinatus [Synonym] | Cactus tenuis [Synonym] | Chilita elongata [Synonym] | Echinocactus densus [Synonym] | Krainzia elongata [Synonym] | Leptocladia elongata [Synonym] | Leptocladodia elongata [Synonym] | Mammillaria anguinea [Synonym] | Mammillaria anguineea [Synonym] | Mammillaria caespitosa [Synonym] | Mammillaria densa [Synonym] | Mammillaria echinata [Synonym] | Mammillaria elongata [Accepted] | Mammillaria intertexta [Synonym] | Mammillaria minima [Synonym] | Mammillaria rufocrocea [Synonym] | Mammillaria stella-aurata [Synonym] | Mammillaria subcrocea [Synonym] | Mammillaria subechinata [Synonym] | Mammillaria tenuis [Synonym] | Neomammillaria elongata [Synonym] | Neomammillaria subcrocea [Synonym],,,,,,,,
wfo-0001255919,Krainzia erythrosperma,Mammillaria erythrosperma,Boed.,Mammillaria,erythrosperma,,,14,Cactus scheidweilerianus | Chilita erythrosperma | Chilita multiformis | Chilita scheidweileriana | Ebnerella erythrosperma | Ebnerella multiformis | Ebnerella scheidweileriana | Krainzia erythrosperma | Mammillaria erythrosperma | Mammillaria multiformis | Mammillaria scheidweileriana | Neomammillaria erythrosperma | Neomammillaria multiformis | Neomammillaria scheidweileriana,Cactus scheidweilerianus [Synonym] | Chilita erythrosperma [Synonym] | Chilita multiformis [Synonym] | Chilita scheidweileriana [Synonym] | Ebnerella erythrosperma [Synonym] | Ebnerella multiformis [Synonym] | Ebnerella scheidweileriana [Synonym] | Krainzia erythrosperma [Synonym] | Mammillaria erythrosperma [Accepted] | Mammillaria multiformis [Synonym] | Mammillaria scheidweileriana [Synonym] | Neomammillaria erythrosperma [Synonym] | Neomammillaria multiformis [Synonym] | Neomammillaria scheidweileriana [Synonym],,,,,,,,
wfo-0001256427,Cactus gracilis,Krainzia gracilis,(Pfeiff.) Doweld,Krainzia,gracilis,,,4,Cactus gracilis | Escobariopsis gracilis | Krainzia gracilis | Mammillaria gracilis,Cactus gracilis [Synonym] | Escobariopsis gracilis [Synonym] | Krainzia gracilis [Synonym] | Mammillaria gracilis [Synonym],,,,,,,,
wfo-0001430476,Krainzia guelzowiana,Cochemiea guelzowiana,(Werderm.) P.B.Breslin & Majure,Cochemiea,guelzowiana,,,5,Bartschella guelzowiana | Cochemiea guelzowiana | Krainzia guelzowiana | Mammillaria guelzowiana | Phellosperma guelzowiana,Bartschella guelzowiana [Synonym] | Cochemiea guelzowiana [Accepted] | Krainzia guelzowiana [Synonym] | Mammillaria guelzowiana [Synonym] | Phellosperma guelzowiana [Synonym],,,,,,,,
wfo-0001288319,Krainzia microhelia,Mammillaria microhelia,Werderm.,Mammillaria,microhelia,,,9,Krainzia microhelia | Leptocladia microhelia | Leptocladia microheliopsis | Leptocladodia microhelia | Leptocladodia microheliopsis | Mammillaria droegeana | Mammillaria microhelia | Mammillaria microheliopsis | Neomammillaria microhelia,Krainzia microhelia [Synonym] | Leptocladia microhelia [Synonym] | Leptocladia microheliopsis [Synonym] | Leptocladodia microhelia [Synonym] | Leptocladodia microheliopsis [Synonym] | Mammillaria droegeana [Synonym] | Mammillaria microhelia [Accepted] | Mammillaria microheliopsis [Synonym] | Neomammillaria microhelia [Synonym],,,,,,,,
wfo-0001288756,Krainzia decipiens,Mammillaria decipiens,Scheidw.,Mammillaria,decipiens,,,11,Cactus ancistrius | Cactus decipiens | Chilita decipiens | Krainzia decipiens | Mammillaria anancistria | Mammillaria ancistria | Mammillaria decipiens | Mammillaria deficiens | Mammillaria deficum | Neomammillaria decipiens | Pseudomammillaria decipiens,Cactus ancistrius [Synonym] | Cactus decipiens [Synonym] | Chilita decipiens [Synonym] | Krainzia decipiens [Synonym] | Mammillaria anancistria [Synonym] | Mammillaria ancistria [Synonym] | Mammillaria decipiens [Accepted] | Mammillaria deficiens [Synonym] | Mammillaria deficum [Synonym] | Neomammillaria decipiens [Synonym] | Pseudomammillaria decipiens [Synonym],,,,,,,,
wfo-0001432032,Mammillaria tepexicensis,Krainzia tepexicensis,(J.Meyrán) Doweld,Krainzia,tepexicensis,,,2,Krainzia tepexicensis | Mammillaria tepexicensis,Krainzia tepexicensis [Synonym] | Mammillaria tepexicensis [Synonym],,,,,,,,
wfo-0001287102,Krainzia pottsii,Mammillaria pottsii,Scheer ex Salm-Dyck,Mammillaria,pottsii,,,10,Cactus pottsii | Chilita pottsii | Coryphantha pottsiana | Coryphantha pottsii | Echinocactus pottsianus | Krainzia pottsii | Leptocladia leona | Mammillaria leona | Mammillaria pottsii | Neomammillaria pottsii,Cactus pottsii [Synonym] | Chilita pottsii [Synonym] | Coryphantha pottsiana [Synonym] | Coryphantha pottsii [Synonym] | Echinocactus pottsianus [Synonym] | Krainzia pottsii [Synonym] | Leptocladia leona [Synonym] | Mammillaria leona [Synonym] | Mammillaria pottsii [Accepted] | Neomammillaria pottsii [Synonym],,,,,,,,
wfo-0001430116,Lobivia euanthema,Aylostera einsteinii,(Frič ex Kreuz. & Buining) Mosti & Papini,Aylostera,einsteinii,,,56,Acantholobivia euanthema | Aylostera aureiflora | Aylostera brighignae | Aylostera einsteinii | Aylostera fischeriana | Aylostera gonjianii | Aylostera oculata | Cylindrorebutia auranitida | Cylindrorebutia columnaris | Cylindrorebutia conoidea | Cylindrorebutia einsteinii | Cylindrorebutia schmiedcheniana | Lobivia auranitida | Lobivia aureiflora | Lobivia columnaris | Lobivia conoidea | Lobivia einsteinii | Lobivia euanthema | Lobivia gonjianii | Lobivia longiseta | Lobivia schmiedcheniana | Mediolobivia auranitida | Mediolobivia aureiflora | Mediolobivia blossfeldii | Mediolobivia boedekeriana | Mediolobivia columnaris | Mediolobivia conoidea | Mediolobivia duursmaiana | Mediolobivia elegans | Mediolobivia euanthema | Mediolobivia kesselringiana | Mediolobivia longiseta | Mediolobivia neopygmaea | Mediolobivia rubelliflora | Mediolobivia rubriflora | Mediolobivia sarothmides | Mediolobivia sarothroides | Mediolobivia schmiedcheniana | Mediolobivia spiralisepala | Rebulobivia einsteinii | Rebutia auranitida | Rebutia aureiflora | Rebutia blossfeldiana | Rebutia blossfeldii | Rebutia brighignae | Rebutia einsteinii | Rebutia euanthema | Rebutia fischeriana | Rebutia gonjianii | Rebutia karreri | Rebutia oculata | Rebutia sarothroides | Rebutia schmiedcheniana | Rebutia spiralisepala | Rebutia steineckei | Rebutia tilcarensis,Acantholobivia euanthema [Synonym] | Aylostera aureiflora [Synonym] | Aylostera brighignae [Synonym] | Aylostera einsteinii [Accepted] | Aylostera fischeriana [Synonym] | Aylostera gonjianii [Synonym] | Aylostera oculata [Synonym] | Cylindrorebutia auranitida [Synonym] | Cylindrorebutia columnaris [Synonym] | Cylindrorebutia conoidea [Synonym] | Cylindrorebutia einsteinii [Synonym] | Cylindrorebutia schmiedcheniana [Synonym] | Lobivia auranitida [Synonym] | Lobivia aureiflora [Synonym] | Lobivia columnaris [Synonym] | Lobivia conoidea [Synonym] | Lobivia einsteinii [Synonym] | Lobivia euanthema [Synonym] | Lobivia gonjianii [Synonym] | Lobivia longiseta [Synonym] | Lobivia schmiedcheniana [Synonym] | Mediolobivia auranitida [Synonym] | Mediolobivia aureiflora [Synonym] | Mediolobivia blossfeldii [Synonym] | Mediolobivia boedekeriana [Synonym] | Mediolobivia columnaris [Synonym] | Mediolobivia conoidea [Synonym] | Mediolobivia duursmaiana [Synonym] | Mediolobivia elegans [Synonym] | Mediolobivia euanthema [Synonym] | Mediolobivia kesselringiana [Synonym] | Mediolobivia longiseta [Synonym] | Mediolobivia neopygmaea [Synonym] | Mediolobivia rubelliflora [Synonym] | Mediolobivia rubriflora [Synonym] | Mediolobivia sarothmides [Synonym] | Mediolobivia sarothroides [Synonym] | Mediolobivia schmiedcheniana [Synonym] | Mediolobivia spiralisepala [Synonym] | Rebulobivia einsteinii [Synonym] | Rebutia auranitida [Synonym] | Rebutia aureiflora [Synonym] | Rebutia blossfeldiana [Synonym] | Rebutia blossfeldii [Synonym] | Rebutia brighignae [Synonym] | Rebutia einsteinii [Synonym] | Rebutia euanthema [Synonym] | Rebutia fischeriana [Synonym] | Rebutia gonjianii [Synonym] | Rebutia karreri [Synonym] | Rebutia oculata [Synonym] | Rebutia sarothroides [Synonym] | Rebutia schmiedcheniana [Synonym] | Rebutia spiralisepala [Synonym] | Rebutia steineckei [Synonym] | Rebutia tilcarensis [Synonym],,,,,,,,
wfo-1000061034,Cephalocereus luetzelburgii,Arrojadoa luetzelburgii,(Vaupel) N.P.Taylor,Arrojadoa,luetzelburgii,,,9,Arrojadoa luetzelburgii | Cephalocereus luetzelburgii | Cereus luetzelburgii | Coleocephalocereus luetzelburgii | Lagenosocereus luetzelburgii | Pilocereus luetzelburgii | Pilosocereus luetzelburgii | Pseudopilocereus luetzelburgii | Stephanocereus luetzelburgii,Arrojadoa luetzelburgii [Accepted] | Cephalocereus luetzelburgii [Synonym] | Cereus luetzelburgii [Synonym] | Coleocephalocereus luetzelburgii [Synonym] | Lagenosocereus luetzelburgii [Synonym] | Pilocereus luetzelburgii [Synonym] | Pilosocereus luetzelburgii [Synonym] | Pseudopilocereus luetzelburgii [Synonym] | Stephanocereus luetzelburgii [Synonym],,,,,,,,
wfo-0001433961,Lobivia bonnieae,Reicheocactus bonnieae,"(Halda, Hogan & Janeba) Schlumpb.",Reicheocactus,bonnieae,,,3,Echinopsis bonnieae | Lobivia bonnieae | Reicheocactus bonnieae,Echinopsis bonnieae [Synonym] | Lobivia bonnieae [Synonym] | Reicheocactus bonnieae [Accepted],,,,,,,,
wfo-0000661987,Lobivia breviflora,Echinopsis breviflora,(Backeb.) M.Lowry,Echinopsis,breviflora,,,2,Echinopsis breviflora | Lobivia breviflora,Echinopsis breviflora [Accepted] | Lobivia breviflora [Synonym],,,,,,,,
wfo-0001245594,Lobivia chereauniana,Lobivia cinnabarina,(Hook.) Britton & Rose,Lobivia,cinnabarina,,,19,Cinnabarinea cinnabarina | Cinnabarinea prestoana | Cinnabarinea walterspielii | Cinnabarinea zudanensis | Echinocactus chereaunianus | Echinocactus cinnabarinus | Echinocereus cinnabarinus | Echinopsis chereauniana | Echinopsis cinnabarina | Echinopsis colmariensis | Echinopsis colmarii | Echinopsis columnaris | Lobivia charcasina | Lobivia chereauniana | Lobivia cinnabarina | Lobivia draxleriana | Lobivia prestoana | Lobivia walterspielii | Lobivia zudanensis,Cinnabarinea cinnabarina [Synonym] | Cinnabarinea prestoana [Synonym] | Cinnabarinea walterspielii [Synonym] | Cinnabarinea zudanensis [Synonym] | Echinocactus chereaunianus [Synonym] | Echinocactus cinnabarinus [Synonym] | Echinocereus cinnabarinus [Synonym] | Echinopsis chereauniana [Synonym] | Echinopsis cinnabarina [Synonym] | Echinopsis colmariensis [Synonym] | Echinopsis colmarii [Synonym] | Echinopsis columnaris [Synonym] | Lobivia charcasina [Synonym] | Lobivia chereauniana [Synonym] | Lobivia cinnabarina [Accepted] | Lobivia draxleriana [Synonym] | Lobivia prestoana [Synonym] | Lobivia walterspielii [Synonym] | Lobivia zudanensis [Synonym],,,,,,,,
wfo-0000662025,Lobivia chrysantha,Echinopsis chrysantha,Werderm.,Echinopsis,chrysantha,,,6,Andenea staffenii | Echinopsis chrysantha | Lobivia chrysantha | Lobivia klusacekii | Lobivia polaskiana | Lobivia staffenii,Andenea staffenii [Synonym] | Echinopsis chrysantha [Accepted] | Lobivia chrysantha [Synonym] | Lobivia klusacekii [Synonym] | Lobivia polaskiana [Synonym] | Lobivia staffenii [Synonym],,,,,,,,
wfo-0001431307,Neolobivia kratochviliana,Lobivia ancistrophora,(Speg.) Schlumpb.,Lobivia,ancistrophora,,,24,Echinopsis ancistrophora | Echinopsis hamatacantha | Echinopsis kratochviliana | Echinopsis leucorhodantha | Echinopsis lobivioides | Echinopsis pelecyrhachis | Echinopsis polyancistra | Echinopsis tapecuana | Lobivia ancistrophora | Lobivia graulichii | Mesechinopsis ancistrophora | Mesechinopsis hamatacantha | Mesechinopsis leucorhodantha | Mesechinopsis lobivioides | Mesechinopsis pelecyrhachis | Mesechinopsis polyancistra | Neolobivia kratochviliana | Pseudolobivia ancistrophora | Pseudolobivia hamatacantha | Pseudolobivia kratochviliana | Pseudolobivia leucorhodantha | Pseudolobivia lobivioides | Pseudolobivia pelecyrhachis | Pseudolobivia polyancistra,Echinopsis ancistrophora [Synonym] | Echinopsis hamatacantha [Synonym] | Echinopsis kratochviliana [Synonym] | Echinopsis leucorhodantha [Synonym] | Echinopsis lobivioides [Synonym] | Echinopsis pelecyrhachis [Synonym] | Echinopsis polyancistra [Synonym] | Echinopsis tapecuana [Synonym] | Lobivia ancistrophora [Accepted] | Lobivia graulichii [Synonym] | Mesechinopsis ancistrophora [Synonym] | Mesechinopsis hamatacantha [Synonym] | Mesechinopsis leucorhodantha [Synonym] | Mesechinopsis lobivioides [Synonym] | Mesechinopsis pelecyrhachis [Synonym] | Mesechinopsis polyancistra [Synonym] | Neolobivia kratochviliana [Synonym] | Pseudolobivia ancistrophora [Synonym] | Pseudolobivia hamatacantha [Synonym] | Pseudolobivia kratochviliana [Synonym] | Pseudolobivia leucorhodantha [Synonym] | Pseudolobivia lobivioides [Synonym] | Pseudolobivia pelecyrhachis [Synonym] | Pseudolobivia polyancistra [Synonym],,,,,,,,
wfo-0001434129,Helianthocereus grandiflorus,Soehrensia grandiflora,(Britton & Rose) Schlumpb.,Soehrensia,grandiflora,,,6,Chamaecereus grandiflorus | Echinopsis rowleyi | Helianthocereus grandiflorus | Lobivia grandiflora | Soehrensia grandiflora | Trichocereus rowleyi,Chamaecereus grandiflorus [Synonym] | Echinopsis rowleyi [Synonym] | Helianthocereus grandiflorus [Synonym] | Lobivia grandiflora [Synonym] | Soehrensia grandiflora [Accepted] | Trichocereus rowleyi [Synonym],,,,,,,,
wfo-0000662129,Lobivia drijveriana,Echinopsis haematantha,(Speg.) D.R.Hunt,Echinopsis,haematantha,,,20,Echinocactus cachensis | Echinocactus haematanthus | Echinopsis albispina | Echinopsis amblayensis | Echinopsis cachensis | Echinopsis elongata | Echinopsis haematantha | Echinopsis hualfinensis | Echinopsis kuehnrichii | Hymenorebutia drijverana | Hymenorebutia kuehnrichii | Lobivia amblayensis | Lobivia cachensis | Lobivia chorrillosensis | Lobivia drijveriana | Lobivia elongata | Lobivia haematantha | Lobivia hualfinensis | Lobivia kuehnrichii | Lobivia mirabunda,Echinocactus cachensis [Synonym] | Echinocactus haematanthus [Synonym] | Echinopsis albispina [Synonym] | Echinopsis amblayensis [Synonym] | Echinopsis cachensis [Synonym] | Echinopsis elongata [Synonym] | Echinopsis haematantha [Accepted] | Echinopsis hualfinensis [Synonym] | Echinopsis kuehnrichii [Synonym] | Hymenorebutia drijverana [Synonym] | Hymenorebutia kuehnrichii [Synonym] | Lobivia amblayensis [Synonym] | Lobivia cachensis [Synonym] | Lobivia chorrillosensis [Synonym] | Lobivia drijveriana [Synonym] | Lobivia elongata [Synonym] | Lobivia haematantha [Synonym] | Lobivia hualfinensis [Synonym] | Lobivia kuehnrichii [Synonym] | Lobivia mirabunda [Synonym],,,,,,,,
wfo-0000357959,Lobivia duursmaiana,Lobivia duursmaiana,Backeb.,Lobivia,duursmaiana,,,1,Lobivia duursmaiana,Lobivia duursmaiana [Accepted],,,,,,,,
wfo-0000357961,Lobivia cornula,Lobivia cornula,Rausch,Lobivia,cornula,,,1,Lobivia cornula,Lobivia cornula [Unchecked],,,,,,,,
