cactus_id,legacy_display_name,accepted_name,accepted_author,accepted_genus,species,subfamily,tribe,names_count,all_names,all_names_with_status,photo_main_url,photo_flower_url,photo_spines_url,morphology_stem,morphology_spines,morphology_flower,morphology_fruit,notes_ru
wfo-0000623385,Echinocactus muehlenpfordtii,Coryphantha muehlenpfordtii,(Poselg.) Britton & Rose,Coryphantha,muehlenpfordtii,,,6,Coryphantha muehlenpfordtii | Coryphantha neoscheeri | Coryphantha scheeri | Echinocactus muehlenpfordtii | Mammillaria engelmannii | Mammillaria scheeri,Coryphantha muehlenpfordtii [Synonym] | Coryphantha neoscheeri [Synonym] | Coryphantha scheeri [Synonym] | Echinocactus muehlenpfordtii [Synonym] | Mammillaria engelmannii [Synonym] | Mammillaria scheeri [Synonym],,,,,,,,
wfo-0000623316,Coryphantha neglecta,Coryphantha neglecta,L.Bremer,Coryphantha,neglecta,,,1,Coryphantha neglecta,Coryphantha neglecta [Accepted],,,,,,,,
wfo-0001302964,Escobaria orcuttii,Coryphantha orcuttii,(Boed.) Zimmerman,Coryphantha,orcuttii,,,6,Coryphantha orcuttii | Coryphantha organensis | Escobaria orcuttii | Escobaria organensis | Escobaria sandbergii | Escobaria villardii,Coryphantha orcuttii [Synonym] | Coryphantha organensis [Synonym] | Escobaria orcuttii [Synonym] | Escobaria organensis [Synonym] | Escobaria sandbergii [Synonym] | Escobaria villardii [Synonym],,,,,,,,
wfo-0000623345,Coryphantha piercei,Coryphantha piercei,Fosberg,Coryphantha,piercei,,,1,Coryphantha piercei,Coryphantha piercei [Unchecked],,,,,,,,
wfo-0001302758,Lepidocoryphantha runyonii,Coryphantha pirtlei,Werderm.,Coryphantha,pirtlei,,,5,Coryphantha pirtlei | Coryphantha runyonii | Lepidocoryphantha runyonii | Mammillaria runyonii | Neomammillaria runyonii,Coryphantha pirtlei [Synonym] | Coryphantha runyonii [Synonym] | Lepidocoryphantha runyonii [Synonym] | Mammillaria runyonii [Synonym] | Neomammillaria runyonii [Synonym],,,,,,,,
wfo-0001255758,Mammillaria potosiana,Coryphantha potosiana,(Jacobi) Glass & R.A.Foster,Coryphantha,potosiana,,,2,Coryphantha potosiana | Mammillaria potosiana,Coryphantha potosiana [Accepted] | Coryphantha potosiana [Synonym] | Mammillaria potosiana [Synonym],,,,,,,,
wfo-0000623353,Coryphantha pseudoechinus,Coryphantha pseudoechinus,Boed.,Coryphantha,pseudoechinus,,,1,Coryphantha pseudoechinus,Coryphantha pseudoechinus [Accepted],,,,,,,,
wfo-0000623357,Coryphantha pseudoradians,Coryphantha pseudoradians,Bravo,Coryphantha,pseudoradians,,,1,Coryphantha pseudoradians,Coryphantha pseudoradians [Accepted],,,,,,,,
wfo-0000623358,Neolloydia pulleineana,Coryphantha pulleineana,(Backeb.) Glass,Coryphantha,pulleineana,,,2,Coryphantha pulleineana | Neolloydia pulleineana,Coryphantha pulleineana [Accepted] | Neolloydia pulleineana [Synonym],,,,,,,,
wfo-0001286410,Coryphantha pusilliflora,Coryphantha pusilliflora,L.Bremer,Coryphantha,pusilliflora,,,1,Coryphantha pusilliflora,Coryphantha pusilliflora [Synonym],,,,,,,,
wfo-0000623372,Mammillaria ramillosa,Coryphantha ramillosa,Cutak,Coryphantha,ramillosa,,,2,Coryphantha ramillosa | Mammillaria ramillosa,Coryphantha ramillosa [Accepted] | Mammillaria ramillosa [Synonym],,,,,,,,
wfo-0000623411,Coryphantha sublanata,Coryphantha sublanata,Lem.,Coryphantha,sublanata,,,1,Coryphantha sublanata,Coryphantha sublanata [Unchecked],,,,,,,,
wfo-0000623414,Coryphantha tripugionacantha,Coryphantha tripugionacantha,A.B.Lau,Coryphantha,tripugionacantha,,,1,Coryphantha tripugionacantha,Coryphantha tripugionacantha [Accepted],,,,,,,,
wfo-0000623420,Coryphantha vaupeliana,Coryphantha vaupeliana,Boed.,Coryphantha,vaupeliana,,,1,Coryphantha vaupeliana,Coryphantha vaupeliana [Accepted],,,,,,,,
wfo-0000623437,Coryphantha vogtherriana,Coryphantha vogtherriana,Werderm. & Boed.,Coryphantha,vogtherriana,,,1,Coryphantha vogtherriana,Coryphantha vogtherriana [Accepted],,,,,,,,
wfo-0000623439,Coryphantha werdermannii,Coryphantha werdermannii,Boed.,Coryphantha,werdermannii,,,1,Coryphantha werdermannii,Coryphantha werdermannii [Accepted],,,,,,,,
wfo-0000623441,Coryphantha wohlschlageri,Coryphantha wohlschlageri,Holzeis,Coryphantha,wohlschlageri,,,1,Coryphantha wohlschlageri,Coryphantha wohlschlageri [Accepted],,,,,,,,
wfo-0001256105,Cryptocereus anthonyanus,Selenicereus anthonyanus,(Alexander) D.R.Hunt,Selenicereus,anthonyanus,,,2,Cryptocereus anthonyanus | Selenicereus anthonyanus,Cryptocereus anthonyanus [Synonym] | Selenicereus anthonyanus [Accepted],,,,,,,,
wfo-0001289378,Cryptocereus rosei,Weberocereus rosei,(Kimnach) Buxb.,Weberocereus,rosei,,,3,Cryptocereus rosei | Eccremocactus rosei | Weberocereus rosei,Cryptocereus rosei [Synonym] | Eccremocactus rosei [Synonym] | Weberocereus rosei [Accepted],,,,,,,,
wfo-0000629297,Tephrocactus corotilla,Cumulopuntia corotilla,(K.Schum. ex Vaupel) E.F.Anderson,Cumulopuntia,corotilla,,,6,Cumulopuntia corotilla | Cumulopuntia mistiensis | Opuntia corotilla | Opuntia mistiensis | Tephrocactus corotilla | Tephrocactus mistiensis,Cumulopuntia corotilla [Accepted] | Cumulopuntia mistiensis [Synonym] | Opuntia corotilla [Synonym] | Opuntia mistiensis [Synonym] | Tephrocactus corotilla [Synonym] | Tephrocactus mistiensis [Synonym],,,,,,,,
wfo-0000629309,Tephrocactus ignotus,Cumulopuntia ignota,(Britton & Rose) F.Ritter,Cumulopuntia,ignota,,,3,Cumulopuntia ignota | Opuntia ignota | Tephrocactus ignotus,Cumulopuntia ignota [Accepted] | Opuntia ignota [Synonym] | Tephrocactus ignotus [Synonym],,,,,,,,
wfo-0000750217,Cumulopuntia recurvata,Tephrocactus recurvatus,(Gilmer & H.P.Thomas) D.R.Hunt & Ritz,Tephrocactus,recurvatus,,,3,Cumulopuntia recurvata | Maihueniopsis recurvata | Tephrocactus recurvatus,Cumulopuntia recurvata [Synonym] | Maihueniopsis recurvata [Synonym] | Tephrocactus recurvatus [Accepted],,,,,,,,
wfo-0000629324,Tephrocactus subterraneus,Cumulopuntia subterranea,(R.E.Fr.) F.Ritter,Cumulopuntia,subterranea,,,7,Cumulopuntia subterranea | Maihueniopsis subterranea | Opuntia subterranea | Pseudotephrocactus subterraneus | Puna subterranea | Tephrocactus subterraneus | Tephrocactus variiflorus,Cumulopuntia subterranea [Accepted] | Maihueniopsis subterranea [Synonym] | Opuntia subterranea [Synonym] | Pseudotephrocactus subterraneus [Synonym] | Puna subterranea [Synonym] | Tephrocactus subterraneus [Synonym] | Tephrocactus variiflorus [Synonym],,,,,,,,
wfo-0000629332,Opuntia zehnderi,Cumulopuntia zehnderi,(Rauh & Backeb.) F.Ritter,Cumulopuntia,zehnderi,,,4,Cumulopuntia zehnderi | Opuntia zehnderi | Sphaeropuntia zehnderi | Tephrocactus zehnderi,Cumulopuntia zehnderi [Accepted] | Opuntia zehnderi [Synonym] | Sphaeropuntia zehnderi [Synonym] | Tephrocactus zehnderi [Synonym],,,,,,,,
wfo-0000632440,Opuntia alamosensis,Cylindropuntia alamosensis,(Britton & Rose) Backeb.,Cylindropuntia,alamosensis,,,2,Cylindropuntia alamosensis | Opuntia alamosensis,Cylindropuntia alamosensis [Synonym] | Opuntia alamosensis [Synonym],,,,,,,,
wfo-0000632337,Cylindropuntia × antoniae,Cylindropuntia × antoniae,P.V.Heath,Cylindropuntia,antoniae,,,1,Cylindropuntia × antoniae,Cylindropuntia × antoniae [Accepted],,,,,,,,
wfo-0000632330,Opuntia burrageana,Cylindropuntia burrageana,(Britton & Rose) Backeb.,Cylindropuntia,burrageana,,,2,Cylindropuntia burrageana | Opuntia burrageana,Cylindropuntia burrageana [Synonym] | Opuntia burrageana [Synonym],,,,,,,,
wfo-0000632355,Opuntia calmalliana,Cylindropuntia calmalliana,(J.M.Coult.) F.M.Knuth,Cylindropuntia,calmalliana,,,2,Cylindropuntia calmalliana | Opuntia calmalliana,Cylindropuntia calmalliana [Accepted] | Opuntia calmalliana [Synonym],,,,,,,,
