tax_id,accepted_name,synonym,symbol,synonym_symbol,name
762161,Gymnocalycium castellanosii subsp. ferocior,Gymnocalycium castellanosii subsp. ferocius,,,
762161,Gymnocalycium castellanosii subsp. ferocior,Gymnocalycium mostii subsp. ferocior,,,
762161,Gymnocalycium castellanosii subsp. ferocior,Gymnocalycium mostii subsp. ferocius,,,
762162,Gymnocalycium mostii var. immemoratum,Gymnocalycium immemoratum,,,
762162,Gymnocalycium mostii var. immemoratum,Gymnocalycium mostii subsp. immemoratum,,,
762164,Gymnocalycium multiflorum,Echinocactus multiflorus,,,
762165,Gymnocalycium hyptiacanthum subsp. netrelianum,Echinocactus netrelianus,,,
762165,Gymnocalycium hyptiacanthum subsp. netrelianum,Gymnocalycium netrelianum,,,
762168,Gymnocalycium parvulum,Echinocactus platensis var. parvulus,,,
762173,Gymnocalycium quehlianum,Echinocactus quehlianus,,,
762175,Gymnocalycium reductum,Cactus reductus,,,
762176,Gymnocalycium reductum var. platense,Echinocactus platensis,,,
762177,Gymnocalycium rhodantherum,Echinocactus rhodantherus,,,
762180,Gymnocalycium riojense var. platygonum,Gymnocalycium riojense subsp. paucispinum var. platygomum,,,
762180,Gymnocalycium riojense var. platygonum,Gymnocalycium riojense subsp. paucispinum var. platygonum,,,
762180,Gymnocalycium riojense var. platygonum,Gymnocalycium riojense var. platygomum,,,
762182,Gymnocalycium ritterianum subsp. acentracanthum,Gymnocalycium ritterianum var. acentracanthum,,,
762183,Gymnocalycium ritterianum subsp. ritterianum,Gymnocalycium ritterianum var. ritterianum,,,
762184,Gymnocalycium saglionis,Echinocactus saglionis,,,
762184,Gymnocalycium saglionis,Gymnocalycium saglione,,,
762188,Gymnocalycium saglionis subsp. tilcarense,Brachycalycium tilcarense,,,
762188,Gymnocalycium saglionis subsp. tilcarense,Gymnocalycium saglione subsp. tilcarense,,,
762188,Gymnocalycium saglionis subsp. tilcarense,Gymnocalycium tilcarense,,,
762189,Gymnocalycium tillianum,Gymnocalycium tilleanum,,,
762191,Gymnocalycium hyptiacanthum subsp. uruguayense,Echinocactus uruguayensis,,,
762191,Gymnocalycium hyptiacanthum subsp. uruguayense,Gymnocalycium uruguayense,,,
762191,Gymnocalycium hyptiacanthum subsp. uruguayense,Gymnocalycium uruguayense var. roseiflorum,,,
