genus,species,scientificName,acceptedNameUsage
Coryphantha,Coryphantha echinoidea,Coryphantha echinoidea (Quehl) Britton & Rose,Coryphantha echinoidea
Coryphantha,Coryphantha erecta,Coryphantha erecta (Lem. ex Pfeiff.) Lem.,Coryphantha erecta
Pereskiopsis,Pereskiopsis aquosa,Pereskiopsis aquosa Britton & Rose,Pereskiopsis aquosa
Grusonia,Grusonia moelleri,Grusonia moelleri (A.Berger) E.F.Anderson,Grusonia moelleri
Lophophora,Lophophora diffusa,Lophophora diffusa (Croizat) Bravo,Lophophora diffusa
Mammillaria,Mammillaria carnea,Mammillaria carnea Zucc. ex Pfeiff.,Mammillaria carnea
Coryphantha,Coryphantha delaetiana,Coryphantha delaetiana (Quehl) A.Berger,Coryphantha delaetiana
Pilosocereus,Pilosocereus chrysacanthus,Pilosocereus chrysacanthus (F.A.C.Weber ex K.Schum.) Byles & G.D.Rowley,Pilosocereus chrysacanthus
Cylindropuntia,Cylindropuntia alcahes,Cylindropuntia alcahes (F.A.C.Weber) F.M.Knuth,Cylindropuntia alcahes
Echinocereus,Echinocereus yavapaiensis,Echinocereus yavapaiensis M.A.Baker,Echinocereus yavapaiensis
Echinocereus,Echinocereus engelmannii,Echinocereus engelmannii (Parry ex Engelm.) Lem.,Echinocereus engelmannii
Thelocactus,Thelocactus hastifer,Thelocactus hastifer (Werderm. & Boed.) F.M.Knuth,Thelocactus hastifer
Pseudorhipsalis,Pseudorhipsalis amazonica,Disocactus amazonicus (K.Schum.) D.R.Hunt,Pseudorhipsalis amazonica subsp. amazonica
Peniocereus,Peniocereus striatus,Wilcoxia striata (K.Brandegee) Britton & Rose,Peniocereus striatus
Stenocereus,Stenocereus alamosensis,Stenocereus alamosensis (J.M.Coult.) A.C.Gibson & K.E.Horak,Stenocereus alamosensis
Mammillaria,Mammillaria oteroi,Mammillaria oteroi Glass & R.A.Foster,Mammillaria oteroi
Opuntia,Opuntia elizondoana,Opuntia elizondoana E.Sánchez & Villaseñor,Opuntia elizondoana
Thelocactus,Thelocactus tulensis,Thelocactus tulensis (Poselg.) Britton & Rose,Thelocactus tulensis
Echinocereus,Echinocereus palmeri,Echinocereus palmeri Britton & Rose,Echinocereus palmeri
Grusonia,Grusonia vilis,Grusonia vilis (Rose) H.Rob.,Grusonia vilis
Bisnaga,Bisnaga glaucescens,Ferocactus glaucescens (DC.) Britton & Rose,Ferocactus glaucescens
Cylindropuntia,Cylindropuntia viridiflora,Cylindropuntia × viridiflora (Britton & Rose) F.M.Knuth,
Mammillaria,Mammillaria vetula,Mammillaria gracilis Pfeiff.,Mammillaria vetula subsp. gracilis
Deamia,Deamia testudo,Selenicereus testudo (Karw. ex Zucc.) Buxb.,Deamia testudo
Stenocactus,Stenocactus multicostatus,Stenocactus multicostatus (Hildm.) A.Berger,Stenocactus multicostatus
Mammillaria,Mammillaria orcuttii,Mammillaria orcuttii Boed.,Mammillaria orcuttii
Coryphantha,Coryphantha compacta,Coryphantha compacta (Engelm.) Britton & Rose,Coryphantha compacta
Pelecyphora,Pelecyphora lloydii,Escobaria lloydii Britton & Rose,Escobaria lloydii
Thelocactus,Thelocactus hexaedrophorus,Thelocactus hexaedrophorus (Lem.) Britton & Rose,Thelocactus hexaedrophorus
Selenicereus,Selenicereus chontalensis,Selenicereus chontalensis (Alexander) Kimnach,Selenicereus chontalensis
Pachycereus,Pachycereus tepamo,Pachycereus tepamo Gama & S.Arias,Pachycereus tepamo
Ariocarpus,Ariocarpus kotschoubeyanus,Ariocarpus kotschoubeyanus (Lem.) K.Schum.,Ariocarpus kotschoubeyanus
Mammillaria,Mammillaria densispina,Mammillaria mieheana Tiegel,Mammillaria mieheana
Acanthocereus,Acanthocereus fosterianus,Peniocereus fosterianus Cutak,Acanthocereus fosterianus
Mammillaria,Mammillaria bocensis,Mammillaria bocensis R.T.Craig,Mammillaria bocensis
Opuntia,Opuntia tapona,Opuntia tapona Engelm. ex J.M.Coult.,Opuntia tapona
Mammillaria,Mammillaria perbella,Mammillaria perbella Hildm. ex K.Schum.,Mammillaria perbella
Mammillaria,Mammillaria prolifera,Mammillaria prolifera (Mill.) Haw.,Mammillaria prolifera
Stenocereus,Stenocereus montanus,Stenocereus montanus (Britton & Rose) Buxb.,Stenocereus montanus
Stenocereus,Stenocereus standleyi,Stenocereus standleyi (J.G.Ortega) Buxb.,Stenocereus standleyi
Cylindropuntia,Cylindropuntia cardenche,Opuntia × cardenche Griffiths,Cylindropuntia imbricata subsp. cardenche
Myrtillocactus,Myrtillocactus chichipe,Polaskia chichipe (Rol.-Goss.) Backeb.,Polaskia chichipe
Bergerocactus,Bergerocactus emoryi,Bergerocactus emoryi (Engelm.) Britton & Rose,Bergerocactus emoryi
Cephalocereus,Cephalocereus sanchezmejoradae,Neobuxbaumia laui (P.V.Heath) D.R.Hunt,Cephalocereus sanchezmejoradae
Opuntia,Opuntia lutea,Nopalea lutea Rose,Opuntia lutea
Disocactus,Disocactus phyllanthoides,Disocactus phyllanthoides (DC.) Barthlott,Disocactus phyllanthoides
Mammillaria,Mammillaria microhelia,Mammillaria microhelia Werderm.,Mammillaria microhelia
Turbinicarpus,Turbinicarpus viereckii,Turbinicarpus viereckii (Werderm.) V.John & Ríha,Turbinicarpus viereckii
Cochemiea,Cochemiea grahamii,Mammillaria grahamii Engelm.,Mammillaria grahamii
Stenocereus,Stenocereus treleasei,Stenocereus treleasei (Rose) Backeb.,Stenocereus treleasei
Mammillaria,Mammillaria baumii,Mammillaria baumii Boed.,Mammillaria baumii
Cylindropuntia,Cylindropuntia munzii,Opuntia munzii C.B.Wolf,Cylindropuntia munzii
Opuntia,Opuntia carstenii,Opuntia × carstenii R.Puente & C.Hamann,
Coryphantha,Coryphantha retusa,Coryphantha retusa (Pfeiff.) Britton & Rose,Coryphantha retusa
Rapicactus,Rapicactus subterraneus,Turbinicarpus subterraneus (Backeb.) A.Zimmerman,Rapicactus subterraneus
Mammillaria,Mammillaria winterae,Mammillaria winterae Boed.,Mammillaria winterae
Ferocactus,Ferocactus townsendianus,Ferocactus townsendianus Britton & Rose,Ferocactus townsendianus
Rapicactus,Rapicactus beguinii,Turbinicarpus beguinii (N.P.Taylor) Mosco & Zanov.,Turbinicarpus beguinii
Selenicereus,Selenicereus atropilosus,Selenicereus atropilosus Kimnach,Selenicereus atropilosus
Peniocereus,Peniocereus zopilotensis,Peniocereus zopilotensis (Meyran) Buxb.,Peniocereus zopilotensis
Selenicereus,Selenicereus escuintlensis,Hylocereus escuintlensis Kimnach,Hylocereus escuintlensis
Mammillaria,Mammillaria standleyi,Mammillaria hertrichiana R.T.Craig,Mammillaria standleyi
Mammillaria,Mammillaria scrippsiana,Mammillaria scrippsiana (Britton & Rose) Orcutt,Mammillaria scrippsiana
Mammillaria,Mammillaria jaliscana,Mammillaria jaliscana (Britton & Rose) Boed.,Mammillaria jaliscana
Myrtillocactus,Myrtillocactus eichlamii,Myrtillocactus eichlamii Britton & Rose,Myrtillocactus eichlamii
Mammillaria,Mammillaria uncinata,Mammillaria uncinata Zucc. ex Pfeiff.,Mammillaria uncinata
Ferocactus,Ferocactus viridescens,Ferocactus viridescens (Torr. & A.Gray) Britton & Rose,Ferocactus viridescens
Echinocactus,Echinocactus texensis,Echinocactus texensis Hopffer,Echinocactus texensis
Grusonia,Grusonia schottii,Corynopuntia schottii (Engelm.) F.M.Knuth,Corynopuntia schottii
Schlumbergera,Schlumbergera truncata,Zygocactus truncatus (Haw.) K.Schum.,
Opuntia,Opuntia polyacantha,Opuntia arenaria Engelm.,Opuntia arenaria
Astrophytum,Astrophytum ornatum,Astrophytum ornatum (DC.) Britton & Rose,Astrophytum ornatum
Selenicereus,Selenicereus pteranthus,Selenicereus boeckmannii (Otto) Britton & Rose,Selenicereus pteranthus
Stenocereus,Stenocereus chacalapensis,Stenocereus chacalapensis (Bravo & T.Mac Doug.) Buxb.,Stenocereus chacalapensis
Mammillaria,Mammillaria polythele,Mammillaria polythele Mart.,Mammillaria polythele
Opuntia,Opuntia gosseliniana,Opuntia gosseliniana F.A.C.Weber,Opuntia gosseliniana
Selenicereus,Selenicereus hamatus,Selenicereus hamatus (Scheidw.) Britton & Rose,Selenicereus hamatus
Mammillaria,Mammillaria roseoalba,Mammillaria roseoalba Boed.,Mammillaria roseoalba
Echinocereus,Echinocereus primolanatus,Echinocereus primolanatus Fritz Schwarz ex N.P.Taylor,Echinocereus primolanatus
Coryphantha,Coryphantha nickelsiae,Coryphantha nickelsiae (K.Brandegee) Britton & Rose,Coryphantha nickelsiae
Melocactus,Melocactus lemairei,Melocactus lemairei (Monv. ex Lem.) Miq.,Melocactus lemairei
Echinocereus,Echinocereus laui,Echinocereus laui G.Frank,Echinocereus laui
Aztekium,Aztekium ritteri,Aztekium ritteri (Boed.) Boed. ex A.Berger,Aztekium ritteri
Thelocactus,Thelocactus leucacanthus,Thelocactus leucacanthus (Zucc. ex Pfeiff.) Britton & Rose,Thelocactus leucacanthus
Echinocereus,Echinocereus dasyacanthus,Echinocereus dasyacanthus Engelm.,Echinocereus dasyacanthus
Mammillaria,Mammillaria plumosa,Mammillaria plumosa F.A.C.Weber,Mammillaria plumosa
Consolea,Consolea macracantha,Opuntia macracantha Griseb.,Consolea macracantha
Parrycactus,Parrycactus echidne,Ferocactus echidne (DC.) Britton & Rose,Ferocactus echidne
Coryphantha,Coryphantha georgii,Coryphantha georgii Boed.,Coryphantha georgii
Geohintonia,Geohintonia mexicana,Geohintonia mexicana Glass & W.A.Fitz Maur.,Geohintonia mexicana
Mammillaria,Mammillaria glassii,Mammillaria glassii R.A.Foster,Mammillaria glassii
Opuntia,Opuntia stricta,Opuntia stricta (Haw.) Haw.,Opuntia stricta
Cochemiea,Cochemiea phitauiana,Mammillaria phitauiana (E.M.Baxter) Werderm.,Mammillaria phitauiana
Mammillaria,Mammillaria napina,Mammillaria napina J.A.Purpus,Mammillaria napina
Echinocereus,Echinocereus leucanthus,Echinocereus leucanthus N.P.Taylor,Echinocereus leucanthus
Cochemiea,Cochemiea armillata,Mammillaria armillata K.Brandegee,Mammillaria armillata
Echinocereus,Echinocereus adustus,Echinocereus adustus Engelm.,Echinocereus adustus
Acanthocereus,Acanthocereus castellae,Peniocereus castellae Sánchez-Mej.,Acanthocereus castellae
Coryphantha,Coryphantha echinus,Mammillaria pectinata Engelm.,Coryphantha echinus
Cylindropuntia,Cylindropuntia bigelowii,Opuntia bigelovii Engelm.,Cylindropuntia bigelovii
Cylindropuntia,Cylindropuntia echinocarpa,Opuntia echinocarpa Engelm. & J.M.Bigelow,Cylindropuntia echinocarpa
Cochemiea,Cochemiea capensis,Mammillaria capensis (H.E.Gates) R.T.Craig,Cochemiea capensis
Opuntia,Opuntia amarilla,Opuntia amarilla Griffiths,Opuntia amarilla
Pereskiopsis,Pereskiopsis rotundifolia,Pereskiopsis rotundifolia (A.DC.) Britton & Rose,Pereskiopsis rotundifolia
Mammillaria,Mammillaria gasseriana,Mammillaria gasseriana Boed.,Mammillaria gasseriana
Mammillaria,Mammillaria erythrosperma,Mammillaria erythrosperma Boed.,Mammillaria erythrosperma
Mammillaria,Mammillaria mercadensis,Mammillaria mercadensis Patoni,Mammillaria mercadensis
Sclerocactus,Sclerocactus warnockii,Sclerocactus warnockii (L.D.Benson) N.P.Taylor,Sclerocactus warnockii
Mammillaria,Mammillaria geminispina,Mammillaria geminispina Haw.,Mammillaria geminispina
Mammillaria,Mammillaria weingartiana,Mammillaria weingartiana Boed.,Mammillaria weingartiana
Sclerocactus,Sclerocactus unguispinus,Sclerocactus unguispinus (Engelm.) N.P.Taylor,Sclerocactus unguispinus
Echinocereus,Echinocereus coccineus,Echinocereus coccineus (Engelm.) Engelm.,Echinocereus coccineus
Mammillaria,Mammillaria parkinsonii,Mammillaria parkinsonii C.Ehrenb.,Mammillaria parkinsonii
Mammillaria,Mammillaria sempervivi,Mammillaria sempervivi DC.,Mammillaria sempervivi
Mammillaria,Mammillaria nunezii,Mammillaria nunezii (Britton & Rose) Orcutt,Mammillaria nunezii
Stenocereus,Stenocereus aragonii,Stenocereus aragonii (F.A.C.Weber) Buxb.,Marshallocereus aragonii
Leuchtenbergia,Leuchtenbergia principis,Leuchtenbergia principis Fisch. ex Hook.,Leuchtenbergia principis
Selenicereus,Selenicereus vagans,Selenicereus vagans Britton & Rose,Selenicereus vagans
Thelocactus,Thelocactus setispinus,Thelocactus setispinus (Engelm.) E.F.Anderson,Thelocactus setispinus
Pilosocereus,Pilosocereus quadricentralis,Pilosocereus quadricentralis (E.Y.Dawson) Backeb.,Pilosocereus quadricentralis
Coryphantha,Coryphantha octacantha,Coryphantha octacantha (DC.) Britton & Rose,Coryphantha octacantha
Pereskiopsis,Pereskiopsis blakeana,Pereskiopsis blakeana Ortega,Pereskiopsis blakeana
Mammillaria,Mammillaria rhodantha,Mammillaria rhodantha Link & Otto,Mammillaria rhodantha
Pachycereus,Pachycereus grandis,Pachycereus grandis Rose,Pachycereus grandis
Mammillaria,Mammillaria sphacelata,Mammillaria sphacelata Mart.,Mammillaria sphacelata
Mammillaria,Mammillaria columbiana,Mammillaria columbiana Salm-Dyck,Mammillaria columbiana
Mammillaria,Mammillaria muehlenpfordtii,Mammillaria muehlenpfordtii C.F.Först.,Mammillaria muehlenpfordtii
Mammillaria,Mammillaria pennispinosa,Mammillaria pennispinosa Krainz ex Shurly,Mammillaria pennispinosa
Leuenbergeria,Leuenbergeria bleo,Pereskia bleo (Kunth) DC.,Leuenbergeria bleo
Pereskiopsis,Pereskiopsis porteri,Pereskiopsis porteri (Brandegee ex F.A.C.Weber) Britton & Rose,Pereskiopsis porteri
Cylindropuntia,Cylindropuntia arbuscula,Opuntia arbuscula Engelm.,Cylindropuntia arbuscula
Mammillaria,Mammillaria bocasana,Mammillaria bocasana Poselg.,Mammillaria bocasana
Turbinicarpus,Turbinicarpus gielsdorfianus,Turbinicarpus gielsdorfianus (Werderm.) John & Ríha,Turbinicarpus gielsdorfianus
Opuntia,Opuntia dillenii,Opuntia dillenii (Ker Gawl.) Haw.,Opuntia stricta
Opuntia,Opuntia chaffeyi,Opuntia chaffeyi Britton & Rose,Opuntia chaffeyi
Turbinicarpus,Turbinicarpus valdezianus,Turbinicarpus valdezianus (H.Moeller) Glass & R.A.Foster,Turbinicarpus valdezianus
Mammillaria,Mammillaria picta,Mammillaria picta Meinsh.,Mammillaria picta
Cochemiea,Cochemiea fraileana,Mammillaria fraileana (Britton & Rose) Boed.,Mammillaria albicans subsp. fraileana
Cochemiea,Cochemiea estebanensis,Mammillaria estebanensis G.E.Linds.,Cochemiea estebanensis
Pachycereus,Pachycereus gaumeri,Pachycereus gaumeri Britton & Rose,Pterocereus gaumeri
Mammillaria,Mammillaria klissingiana,Mammillaria klissingiana Boed.,Mammillaria klissingiana
Coryphantha,Coryphantha ramillosa,Coryphantha ramillosa Cutak,Coryphantha ramillosa
Peniocereus,Peniocereus greggii,Peniocereus greggii (Engelm.) Britton & Rose,Peniocereus greggii
Acanthocereus,Acanthocereus hesperius,"Peniocereus occidentalis Bravo ex S.Arias, U.Guzmán & Gama",Acanthocereus hesperius
Pachycereus,Pachycereus lepidanthus,Lemaireocereus lepidanthus (Eichlam) S.Arias & Terrazas,
Opuntia,Opuntia pachyrrhiza,"Opuntia pachyrrhiza H.M.Hern., Gómez-Hin. & Bárcenas",Opuntia pachyrrhiza
Mammillaria,Mammillaria gigantea,Mammillaria gigantea Hildm. ex K.Schum.,Mammillaria gigantea
Coryphantha,Coryphantha sulcata,Coryphantha sulcata (Engelm.) Britton & Rose,Coryphantha sulcata
Coryphantha,Coryphantha pseudoechinus,Coryphantha pseudoechinus Boed.,Coryphantha pseudoechinus
Cephalocereus,Cephalocereus senilis,Cephalocereus senilis (Haw.) Pfeiff.,Cephalocereus senilis
Echinocereus,Echinocereus pseudopectinatus,Echinocereus pseudopectinatus (N.P.Taylor) N.P.Taylor,Echinocereus pseudopectinatus
Opuntia,Opuntia jaliscana,Opuntia jaliscana Bravo,Opuntia jaliscana
Strombocactus,Strombocactus disciformis,Strombocactus disciformis (DC.) Britton & Rose,Strombocactus disciformis
Mammillaria,Mammillaria solisioides,Mammillaria solisioides Backeb.,Mammillaria pectinifera subsp. solisioides
Echinocereus,Echinocereus parkeri,Echinocereus rayonesensis N.P.Taylor,Echinocereus rayonesensis
Mammillaria,Mammillaria coahuilensis,Mammillaria coahuilensis (Boed.) Moran,Mammillaria coahuilensis
Pseudorhipsalis,Pseudorhipsalis himantoclada,Pseudorhipsalis himantoclada (Rol.-Goss.) Britton & Rose,Pseudorhipsalis himantoclada
Mammillaria,Mammillaria fittkaui,Mammillaria limonensis Repp.,Mammillaria fittkaui subsp. limonensis
Mammillaria,Mammillaria glochidiata,Mammillaria glochidiata Mart.,Mammillaria glochidiata
Peniocereus,Peniocereus lazaro-cardenasii,"Peniocereus lazaro-cardenasii (J.L.Contr., J.Jiménez Ram., Sánchez-Mej. & C.Toledo) D.R.Hunt",Peniocereus lazaro-cardenasii
Pilosocereus,Pilosocereus alensis,Cephalocereus alensis (F.A.C.Weber) Britton & Rose,Pilosocereus alensis
Mammillaria,Mammillaria anniana,Mammillaria anniana Glass & R.A.Foster,Mammillaria anniana
Pseudorhipsalis,Pseudorhipsalis acuminata,Rhipsalis acuminata (Cufod.) Standl.,Pseudorhipsalis acuminata
Mammillaria,Mammillaria mathildae,Mammillaria mathildae Kraehenb. & Krainz,Mammillaria mathildae
Echinocereus,Echinocereus berlandieri,Echinocereus berlandieri (Engelm.) F.Haage,Echinocereus berlandieri
Ferocactus,Ferocactus mathssonii,Hamatocactus crassihamatus (F.A.C.Weber) Buxb.,Ferocactus mathssonii
Opuntia,Opuntia megarrhiza,Opuntia megarrhiza Rose,Opuntia megarrhiza
Mammillaria,Mammillaria melaleuca,Mammillaria melaleuca Karw. ex Salm-Dyck,Mammillaria melaleuca
Selenicereus,Selenicereus triangularis,Hylocereus triangularis (L.) Britton & Rose,
Echinocereus,Echinocereus pensilis,Echinocereus pensilis (K.Brandegee) J.A.Purpus,Echinocereus pensilis
Coryphantha,Coryphantha clavata,Coryphantha clavata (Scheidw.) Backeb.,Coryphantha clavata
Echinocereus,Echinocereus grandis,Echinocereus grandis Britton & Rose,Echinocereus grandis
Thelocactus,Thelocactus conothelos,Thelocactus conothelos (Regel & E.Klein bis) F.M.Knuth,Thelocactus conothelos
Mammillaria,Mammillaria zublerae,Mammillaria zublerae Repp.,Mammillaria zublerae
Mammillaria,Mammillaria nana,Mammillaria nana Backeb.,Mammillaria nana
Mammillaria,Mammillaria petterssonii,Mammillaria petterssonii Hildm.,Mammillaria petterssonii
Coryphantha,Coryphantha durangensis,Coryphantha durangensis (Ruenge) Britton & Rose,Coryphantha durangensis
Echinocereus,Echinocereus platyacanthus,Echinocereus platyacanthus Link & Otto,
Coryphantha,Coryphantha vaupeliana,Coryphantha vaupeliana Boed.,Coryphantha vaupeliana
Mammillaria,Mammillaria lenta,Mammillaria lenta K.Brandegee,Mammillaria lenta
Cumarinia,Cumarinia odorata,Cumarinia odorata (Boed.) Buxb.,Cumarinia odorata
Epiphyllum,Epiphyllum cartagense,Epiphyllum cartagense (F.A.C.Weber) Britton & Rose,Epiphyllum cartagense
Coryphantha,Coryphantha jalpanensis,Coryphantha jalpanensis F.G.Buchenau,Coryphantha jalpanensis
Cochemiea,Cochemiea thornberi,Mammillaria thornberi Orcutt,Mammillaria thornberi
Parrycactus,Parrycactus flavovirens,Ferocactus flavovirens (Scheidw.) Britton & Rose,Ferocactus flavovirens
Leuenbergeria,Leuenbergeria zinniiflora,Pereskia zinniiflora DC.,Leuenbergeria zinniiflora
Acanthocereus,Acanthocereus rosei,Peniocereus rosei J.G.Ortega,Acanthocereus rosei
Stenocactus,Stenocactus ochoterenianus,Stenocactus heteracanthus (Muehlenpf.) A.Berger ex A.W.Hill,Stenocactus heteracanthus
Peniocereus,Peniocereus marianus,Peniocereus marianus (Gentry) Sánchez-Mej.,Peniocereus marianus
Coryphantha,Coryphantha pulleineana,Coryphantha pulleineana (Backeb.) Glass,Coryphantha pulleineana
Mammillaria,Mammillaria pilispina,Mammillaria pilispina J.A.Purpus,Mammillaria pilispina
Opuntia,Opuntia vaseyi,Opuntia × vaseyi (J.M.Coult.) Britton & Rose,
Echinocereus,Echinocereus conglomeratus,"Echinocereus conglomeratus C.F.Först. ex Haag, 1860",Echinocereus stramineus subsp. stramineus
Cylindropuntia,Cylindropuntia californica,Opuntia rosarica G.E.Linds.,Cylindropuntia californica subsp. rosarica
Stenocereus,Stenocereus chrysocarpus,Stenocereus chrysocarpus Sánchez-Mej.,Stenocereus chrysocarpus
Coryphantha,Coryphantha wohlschlageri,Coryphantha wohlschlageri Holzeis,Coryphantha wohlschlageri
Epithelantha,Epithelantha bokei,Epithelantha bokei L.D.Benson,Epithelantha bokei
Cylindropuntia,Cylindropuntia acanthocarpa,Opuntia acanthocarpa Engelm. & J.M.Bigelow,Cylindropuntia acanthocarpa
Echinocereus,Echinocereus waldeisii,Echinocereus waldeisii Haugg,Echinocereus poselgeri
Mammillaria,Mammillaria pectinifera,Mammillaria pectinifera (Stein) F.A.C.Weber,Mammillaria pectinifera
Stenocactus,Stenocactus dichroacanthus,Stenocactus dichroacanthus (DC.) A.Berger ex A.W.Hill,Stenocactus arrigens
Opuntia,Opuntia crassa,Opuntia crassa Haw.,Opuntia crassa
Coryphantha,Coryphantha glassii,Coryphantha glassii Dicht & A.Lüthy,Coryphantha glassii
Echinocereus,Echinocereus maritimus,Echinocereus maritimus (M.E.Jones) K.Schum.,Echinocereus maritimus
Thelocactus,Thelocactus rinconensis,Thelocactus rinconensis (Poselg.) Britton & Rose,Thelocactus rinconensis
Mammillaria,Mammillaria sphaerica,Mammillaria sphaerica A.Dietr. ex Engelm.,Mammillaria sphaerica
Peniocereus,Peniocereus viperinus,Peniocereus viperinus (F.A.C.Weber) Buxb.,Peniocereus viperinus
Stenocactus,Stenocactus ochoterenanus,Stenocactus ochoterenanus Tiegel,Stenocactus ochoterenianus
Mammillaria,Mammillaria moelleriana,Mammillaria moelleriana Boed.,Mammillaria moelleriana
Coryphantha,Coryphantha ottonis,Coryphantha ottonis (Pfeiff.) Lem.,Coryphantha ottonis
Sclerocactus,Sclerocactus mariposensis,Sclerocactus mariposensis (Hester) N.P.Taylor,Sclerocactus mariposensis
Brasiliopuntia,Brasiliopuntia brasiliensis,Opuntia brasiliensis (Willd.) Haw.,Brasiliopuntia brasiliensis subsp. brasiliensis
Cochemiea,Cochemiea blossfeldiana,Mammillaria blossfeldiana Boed.,Cochemiea blossfeldiana
Selenicereus,Selenicereus monacanthus,Hylocereus monacanthus (Lem.) Britton & Rose,
Lobivia,Lobivia bridgesii,Echinopsis bridgesii Salm-Dyck,Lobivia bridgesii subsp. bridgesii
Cochemiea,Cochemiea sheldonii,Mammillaria swinglei (Britton & Rose) Boed.,Mammillaria grahamii subsp. sheldonii
Cochemiea,Cochemiea boolii,Mammillaria boolii G.E.Linds.,Cochemiea boolii
Mammillaria,Mammillaria johnstonii,Mammillaria johnstonii (Britton & Rose) Orcutt,Mammillaria johnstonii
Cylindropuntia,Cylindropuntia molesta,Opuntia molesta Brandegee,Cylindropuntia molesta
Cylindropuntia,Cylindropuntia whipplei,Opuntia whipplei Engelm. & J.M.Bigelow,Cylindropuntia whipplei
Mammillaria,Mammillaria painteri,Mammillaria painteri Rose ex Quehl,Mammillaria painteri
Cylindropuntia,Cylindropuntia kelvinensis,Opuntia × kelvinensis V.E.Grant & K.A.Grant,
Echinocereus,Echinocereus longisetus,Echinocereus delaetii (Gürke) Gürke,Echinocereus longisetus subsp. delaetii
Echinocereus,Echinocereus reichenbachii,Echinocereus reichenbachii (Terscheck) F.Haage ex Britton & Rose,Echinocereus reichenbachii
Echinocereus,Echinocereus fasciculatus,Echinocereus fasciculatus (Engelm.) L.D.Benson,Echinocereus fasciculatus
Echinocereus,Echinocereus pringlei,Echinocereus pringlei Rose,
Mammillaria,Mammillaria backebergiana,Mammillaria backebergiana F.G.Buchenau,Mammillaria backebergiana
Echinocereus,Echinocereus viereckii,Echinocereus viereckii Werderm.,Echinocereus viereckii
Selenicereus,Selenicereus anthonyanus,Selenicereus anthonyanus (Alexander) D.R.Hunt,Selenicereus anthonyanus
Mammillaria,Mammillaria zeilmanniana,Mammillaria zeilmanniana Boed.,Mammillaria zeilmanniana
Echinocereus,Echinocereus marksianus,"Echinocereus marksianus Fritz Schwarz ex Backeb., 1966",Echinocereus acifer subsp. acifer
Mammillaria,Mammillaria insularis,"Mammillaria insularis H.E.Gates ex Shurly, 1938",Cochemiea insularis
Echinocereus,Echinocereus spinigemmatus,Echinocereus spinigemmatus A.B.Lau,Echinocereus spinigemmatus
Cochemiea,Cochemiea halei,Cochemiea halei (Brandegee) Walton,Cochemiea halei
Pachycereus,Pachycereus eichlamii,Stenocereus longispinus (Britton & Rose) Buxb.,Stenocereus pruinosus
Cylindropuntia,Cylindropuntia santamaria,Opuntia santamaria (Baxter) Bravo,Cylindropuntia santamaria
Astrophytum,Astrophytum asterias,Astrophytum asterias (Zucc.) Lem.,Astrophytum asterias
Echinocereus,Echinocereus nivosus,Echinocereus nivosus Glass & R.A.Foster,Echinocereus nivosus
Mammillaria,Mammillaria longiflora,Mammillaria longiflora (Britton & Rose) A.Berger,Mammillaria longiflora
Pelecyphora,Pelecyphora laredoi,Escobaria laredoi (Glass & R.A.Foster) N.P.Taylor,Pelecyphora laredoi
Mammillaria,Mammillaria magnifica,Mammillaria magnifica F.G.Buchenau,Mammillaria magnifica
Acanthocereus,Acanthocereus maculatus,Peniocereus maculatus (Weing.) Cutak,Acanthocereus maculatus
Coryphantha,Coryphantha potosiana,Coryphantha potosiana (Jacobi) Glass & R.A.Foster ex Rowley,Coryphantha potosiana
Opuntia,Opuntia cymochila,Opuntia × cymochila Engelm. & J.M.Bigelow,Opuntia macrorhiza subsp. macrorhiza
Coryphantha,Coryphantha pycnacantha,Coryphantha pycnacantha (Mart.) Lem.,Coryphantha pycnacantha
Mammillaria,Mammillaria tepexicensis,Mammillaria tepexicensis J.Meyrán,Mammillaria longiflora subsp. tepexicensis
Cochemiea,Cochemiea hutchisoniana,Mammillaria louisae G.E.Linds.,Mammillaria hutchisoniana subsp. louisae
Opuntia,Opuntia maxima,Opuntia amyclaea Ten.,Opuntia megacantha
Mammillaria,Mammillaria duoformis,Mammillaria duoformis R.T.Craig & E.Y.Dawson,Mammillaria duoformis
Selenicereus,Selenicereus costaricensis,Hylocereus costaricensis (F.A.C.Weber) Britton & Rose,
Mammillaria,Mammillaria duwei,Mammillaria duwei Rogoz. & P.J.Braun,Mammillaria duwei
Echinocereus,Echinocereus ferreiranus,"Echinocereus ferreiranus H.E.Gates, 1953",Echinocereus ferreiranus
Stenocactus,Stenocactus phyllacanthus,Stenocactus phyllacanthus (A.Dietr. & Otto) A.Berger,Stenocactus phyllacanthus
Opuntia,Opuntia howeyi,Opuntia howeyi J.A.Purpus,Opuntia howeyi
Mammillaria,Mammillaria meyranii,Mammillaria meyranii Bravo,Mammillaria meyranii
Mammillaria,Mammillaria deherdtiana,Mammillaria deherdtiana Farwig,Mammillaria deherdtiana
Coryphantha,Coryphantha salinensis,Coryphantha salinensis (Poselg.) Dicht & A.Lüthy,Coryphantha salinensis
Selenicereus,Selenicereus inermis,Selenicereus wercklei (F.A.C.Weber) Britton & Rose,Selenicereus inermis subsp. inermis
Selenicereus,Selenicereus murrillii,Selenicereus murrillii Britton & Rose,Selenicereus murrillii
Echinocereus,Echinocereus subinermis,Echinocereus subinermis Salm-Dyck ex Scheer,Echinocereus subinermis
